pclass,survived,sex,age,sibsp,parch,embarked
1.0,1.0,female,29.0,0.0,0.0,S
1.0,1.0,male,0.9167,1.0,2.0,S
1.0,0.0,female,2.0,1.0,2.0,S
1.0,0.0,male,30.0,1.0,2.0,S
1.0,0.0,female,25.0,1.0,2.0,S
1.0,1.0,male,48.0,0.0,0.0,S
1.0,1.0,female,63.0,1.0,0.0,S
1.0,0.0,male,39.0,0.0,0.0,S
1.0,1.0,female,53.0,2.0,0.0,S
1.0,0.0,male,71.0,0.0,0.0,C
1.0,0.0,male,47.0,1.0,0.0,C
1.0,1.0,female,18.0,1.0,0.0,C
1.0,1.0,female,24.0,0.0,0.0,C
1.0,1.0,female,26.0,0.0,0.0,S
1.0,1.0,male,80.0,0.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,24.0,0.0,1.0,C
1.0,1.0,female,50.0,0.0,1.0,C
1.0,1.0,female,32.0,0.0,0.0,C
1.0,0.0,male,36.0,0.0,0.0,C
1.0,1.0,male,37.0,1.0,1.0,S
1.0,1.0,female,47.0,1.0,1.0,S
1.0,1.0,male,26.0,0.0,0.0,C
1.0,1.0,female,42.0,0.0,0.0,C
1.0,1.0,female,29.0,0.0,0.0,S
1.0,0.0,male,25.0,0.0,0.0,C
1.0,1.0,male,25.0,1.0,0.0,C
1.0,1.0,female,19.0,1.0,0.0,C
1.0,1.0,female,35.0,0.0,0.0,S
1.0,1.0,male,28.0,0.0,0.0,S
1.0,0.0,male,45.0,0.0,0.0,S
1.0,1.0,male,40.0,0.0,0.0,C
1.0,1.0,female,30.0,0.0,0.0,S
1.0,1.0,female,58.0,0.0,0.0,S
1.0,0.0,male,42.0,0.0,0.0,S
1.0,1.0,female,45.0,0.0,0.0,C
1.0,1.0,female,22.0,0.0,1.0,S
1.0,1.0,male,,0.0,0.0,S
1.0,0.0,male,41.0,0.0,0.0,S
1.0,0.0,male,48.0,0.0,0.0,C
1.0,0.0,male,,0.0,0.0,C
1.0,1.0,female,44.0,0.0,0.0,C
1.0,1.0,female,59.0,2.0,0.0,S
1.0,1.0,female,60.0,0.0,0.0,C
1.0,1.0,female,41.0,0.0,0.0,C
1.0,0.0,male,45.0,0.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,1.0,male,42.0,0.0,0.0,S
1.0,1.0,female,53.0,0.0,0.0,C
1.0,1.0,male,36.0,0.0,1.0,C
1.0,1.0,female,58.0,0.0,1.0,C
1.0,0.0,male,33.0,0.0,0.0,S
1.0,0.0,male,28.0,0.0,0.0,S
1.0,0.0,male,17.0,0.0,0.0,S
1.0,1.0,male,11.0,1.0,2.0,S
1.0,1.0,female,14.0,1.0,2.0,S
1.0,1.0,male,36.0,1.0,2.0,S
1.0,1.0,female,36.0,1.0,2.0,S
1.0,0.0,male,49.0,0.0,0.0,S
1.0,1.0,female,,0.0,0.0,C
1.0,0.0,male,36.0,1.0,0.0,S
1.0,1.0,female,76.0,1.0,0.0,S
1.0,0.0,male,46.0,1.0,0.0,S
1.0,1.0,female,47.0,1.0,0.0,S
1.0,1.0,male,27.0,1.0,0.0,S
1.0,1.0,female,33.0,1.0,0.0,S
1.0,1.0,female,36.0,0.0,0.0,C
1.0,1.0,female,30.0,0.0,0.0,S
1.0,1.0,male,45.0,0.0,0.0,C
1.0,1.0,female,,0.0,1.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,27.0,1.0,0.0,C
1.0,1.0,female,26.0,1.0,0.0,C
1.0,1.0,female,22.0,0.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,47.0,0.0,0.0,S
1.0,1.0,female,39.0,1.0,1.0,C
1.0,0.0,male,37.0,1.0,1.0,C
1.0,1.0,female,64.0,0.0,2.0,C
1.0,1.0,female,55.0,2.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,70.0,1.0,1.0,S
1.0,1.0,female,36.0,0.0,2.0,S
1.0,1.0,female,64.0,1.0,1.0,S
1.0,0.0,male,39.0,1.0,0.0,C
1.0,1.0,female,38.0,1.0,0.0,C
1.0,1.0,male,51.0,0.0,0.0,S
1.0,1.0,male,27.0,0.0,0.0,S
1.0,1.0,female,33.0,0.0,0.0,S
1.0,0.0,male,31.0,1.0,0.0,S
1.0,1.0,female,27.0,1.0,2.0,S
1.0,1.0,male,31.0,1.0,0.0,S
1.0,1.0,female,17.0,1.0,0.0,S
1.0,1.0,male,53.0,1.0,1.0,S
1.0,1.0,male,4.0,0.0,2.0,S
1.0,1.0,female,54.0,1.0,1.0,S
1.0,0.0,male,50.0,1.0,0.0,C
1.0,1.0,female,27.0,1.0,1.0,C
1.0,1.0,female,48.0,1.0,0.0,C
1.0,1.0,female,48.0,1.0,0.0,C
1.0,1.0,male,49.0,1.0,0.0,C
1.0,0.0,male,39.0,0.0,0.0,C
1.0,1.0,female,23.0,0.0,1.0,C
1.0,1.0,female,38.0,0.0,0.0,C
1.0,1.0,female,54.0,1.0,0.0,C
1.0,0.0,female,36.0,0.0,0.0,C
1.0,0.0,male,,0.0,0.0,S
1.0,1.0,female,,0.0,0.0,S
1.0,1.0,female,,0.0,0.0,C
1.0,1.0,male,36.0,0.0,0.0,S
1.0,0.0,male,30.0,0.0,0.0,C
1.0,1.0,female,24.0,3.0,2.0,S
1.0,1.0,female,28.0,3.0,2.0,S
1.0,1.0,female,23.0,3.0,2.0,S
1.0,0.0,male,19.0,3.0,2.0,S
1.0,0.0,male,64.0,1.0,4.0,S
1.0,1.0,female,60.0,1.0,4.0,S
1.0,1.0,female,30.0,0.0,0.0,C
1.0,0.0,male,,0.0,0.0,S
1.0,1.0,male,50.0,2.0,0.0,S
1.0,1.0,male,43.0,1.0,0.0,C
1.0,1.0,female,,1.0,0.0,S
1.0,1.0,female,22.0,0.0,2.0,C
1.0,1.0,male,60.0,1.0,1.0,C
1.0,1.0,female,48.0,1.0,1.0,C
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,37.0,1.0,0.0,S
1.0,1.0,female,35.0,1.0,0.0,S
1.0,0.0,male,47.0,0.0,0.0,S
1.0,1.0,female,35.0,0.0,0.0,C
1.0,1.0,female,22.0,0.0,1.0,C
1.0,1.0,female,45.0,0.0,1.0,C
1.0,0.0,male,24.0,0.0,0.0,C
1.0,1.0,male,49.0,1.0,0.0,C
1.0,1.0,female,,1.0,0.0,C
1.0,0.0,male,71.0,0.0,0.0,C
1.0,1.0,male,53.0,0.0,0.0,C
1.0,1.0,female,19.0,0.0,0.0,S
1.0,0.0,male,38.0,0.0,1.0,S
1.0,1.0,female,58.0,0.0,1.0,S
1.0,1.0,male,23.0,0.0,1.0,C
1.0,1.0,female,45.0,0.0,1.0,C
1.0,0.0,male,46.0,0.0,0.0,C
1.0,1.0,male,25.0,1.0,0.0,C
1.0,1.0,female,25.0,1.0,0.0,C
1.0,1.0,male,48.0,1.0,0.0,C
1.0,1.0,female,49.0,1.0,0.0,C
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,45.0,1.0,0.0,S
1.0,1.0,female,35.0,1.0,0.0,S
1.0,0.0,male,40.0,0.0,0.0,S
1.0,1.0,male,27.0,0.0,0.0,C
1.0,1.0,male,,0.0,0.0,S
1.0,1.0,female,24.0,0.0,0.0,C
1.0,0.0,male,55.0,1.0,1.0,S
1.0,1.0,female,52.0,1.0,1.0,S
1.0,0.0,male,42.0,0.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,55.0,0.0,0.0,S
1.0,1.0,female,16.0,0.0,1.0,C
1.0,1.0,female,44.0,0.0,1.0,C
1.0,1.0,female,51.0,1.0,0.0,S
1.0,0.0,male,42.0,1.0,0.0,S
