class,cap-shape,cap-surface,cap-color,bruises,gill-color,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
poisonous,convex,smooth,brown,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,bell,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,gray,no,black,tapering,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,bell,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,bruises,pink,enlarging,white,white,white,one,pendant,black,several,grasses
edible,bell,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,convex,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
poisonous,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,brown,tapering,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,gray,no,black,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,flat,fibrous,white,no,black,tapering,white,white,white,one,evanescent,brown,abundant,grasses
poisonous,convex,smooth,brown,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,grasses
poisonous,convex,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,urban
poisonous,convex,smooth,brown,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,urban
edible,bell,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,brown,bruises,brown,enlarging,white,white,white,one,pendant,brown,several,grasses
edible,bell,scaly,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,bell,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,bell,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,meadows
poisonous,flat,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,several,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no,black,enlarging,white,white,white,one,pendant,black,solitary,urban
edible,convex,smooth,yellow,bruises,brown,tapering,white,white,white,one,pendant,brown,several,woods
edible,bell,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,urban
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,brown,solitary,paths
edible,bell,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,bruises,white,tapering,white,white,white,one,pendant,brown,several,woods
edible,sunken,fibrous,gray,no,black,enlarging,white,white,white,one,pendant,black,several,urban
poisonous,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,bruises,pink,tapering,white,white,white,one,pendant,brown,several,woods
edible,bell,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,solitary,paths
edible,convex,fibrous,brown,no,gray,enlarging,white,white,white,one,pendant,black,solitary,urban
poisonous,convex,scaly,white,bruises,pink,enlarging,white,white,white,one,pendant,brown,several,grasses
edible,convex,smooth,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,convex,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,convex,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,paths
edible,flat,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,paths
edible,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,bell,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,brown,bruises,black,enlarging,white,white,white,one,pendant,brown,several,urban
poisonous,convex,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,black,several,urban
edible,bell,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,meadows
